deployed_strategy,latency_ms_mean,latency_ms_std,model_size_mb_mean,train_time_sec_mean,utility_deployment_mean,macro_f1_mean,pr_auc_mean,n_scenarios,generated_at,output_path
Framework-Best-F1,0.0645864905063429,0.1354960698170672,0.9804960250854492,0.1618433270789682,0.2911314624261693,0.7734610330411829,0.861138559092834,100,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Balanced,0.0645920732795919,0.1354934953366939,0.9804960250854492,0.1614340978988911,0.2901908299382915,0.7730015561708667,0.8608469365746783,100,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Safety,0.0717050266900669,0.1418634403041313,0.98703857421875,0.1628747624391689,0.2083579013415212,0.7383730860880147,0.8576262894199559,100,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Low-False-Alarm,0.0439343774352463,0.1169151368419846,0.9523000717163086,0.1585066170152276,0.2475815239771856,0.7503388516866178,0.8590358311440011,100,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Robust,0.0654691442079396,0.1353585654929142,0.9694573211669922,0.1621722437790594,0.2857667601715401,0.7714453892534234,0.8585306181732898,100,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Deployment,0.0503602261405745,0.1201586733889701,0.9724547576904295,0.1578315553755964,0.2836271821025942,0.7704818599308072,0.8586067556101951,100,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Label-Efficient,0.0645920732795919,0.1354934953366939,0.9804960250854492,0.1614340978988911,0.2901908299382915,0.7730015561708667,0.8608469365746783,100,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-LightGBM,0.0063910415691942,0.0047024868586633,1.0,0.1528499273129885,0.3255966005528478,0.7853701241815099,0.8765718937196254,95,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-XGBoost,0.0058517313379202,0.0048292410956112,1.0,0.1226301485415253,0.2591062665842535,0.760957515226559,0.8605680360796103,95,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-RandomForest,0.1970258372302316,0.1545529833296227,1.0,0.2278434969595094,0.2018820612558695,0.7444351570530119,0.8349170177952164,95,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-IsolationForest,0.0264926232189788,0.0152352278205578,0.0499999999999999,0.2447520528186578,-0.4792448578616358,0.4843053160724274,0.5122134655701954,100,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-AutoEncoder,0.0024038030148885,0.0003288625674543,0.453216552734375,0.1116093784978147,-0.3681413597377855,0.5479761028680797,0.5501502850844263,60,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-LSTM-AE,0.0042850987026662,0.0003472691714529,0.0460014343261718,0.1945749552648825,-0.4632592927682529,0.4848025818789907,0.5459851670175567,60,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-USAD,0.0035106147387579,0.0005009479800705,0.850128173828125,0.1556960572915462,-0.3874410831047387,0.5478415344589508,0.5628319810251629,60,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Oracle-Best-Test,0.0653834481550797,0.1247346987116485,0.9370681762695312,0.1653338335128501,0.3822599962910501,0.8083493900291221,0.875210673335663,100,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
