framework_strategy,fixed_strategy,utility,n_pairs,mean_framework_minus_fixed,paired_t_p,wilcoxon_p,sign_test_p,effect_size_dz,wins,losses,generated_at,output_path
Framework-Balanced,Fixed-LightGBM,utility_balanced,95,0.00202290809757152,0.8431015331410631,0.13714665192637712,0.16863754391670227,0.020363176200933197,17,9,2026-06-05T14:24:59+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/framework_strategy_validation_gate_v1
Framework-Balanced,Fixed-XGBoost,utility_balanced,95,0.06855048284897623,7.307807177684893e-08,1.996231915116826e-10,4.260536478846756e-10,0.5995693679898046,72,15,2026-06-05T14:24:59+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/framework_strategy_validation_gate_v1
Framework-Balanced,Fixed-RandomForest,utility_balanced,95,0.11419667181967544,3.946284429311982e-12,9.37402994679453e-11,8.909847968334875e-07,0.8162803675723379,60,17,2026-06-05T14:24:59+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/framework_strategy_validation_gate_v1
Framework-Safety,Fixed-LightGBM,utility_safety,95,0.0705767867020589,0.0009459520408043334,4.5491155011565136e-08,1.411466840981396e-08,0.3502812167286837,65,15,2026-06-05T14:24:59+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/framework_strategy_validation_gate_v1
Framework-Safety,Fixed-XGBoost,utility_safety,95,0.16019433772039085,3.2746596280763284e-13,3.588263349125104e-13,3.090494990539711e-19,0.868953096368337,86,6,2026-06-05T14:24:59+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/framework_strategy_validation_gate_v1
Framework-Safety,Fixed-RandomForest,utility_safety,95,0.22353119400925275,3.011659750038061e-15,1.3194171374109955e-12,7.658840702050266e-12,0.9673802073267037,66,9,2026-06-05T14:24:59+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/framework_strategy_validation_gate_v1
Framework-Low-False-Alarm,Fixed-LightGBM,utility_low_false_alarm,95,0.09457698054340836,5.1166137624801264e-08,7.009413895072906e-10,3.918121146030225e-12,0.6078509825515932,72,11,2026-06-05T14:24:59+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/framework_strategy_validation_gate_v1
Framework-Low-False-Alarm,Fixed-XGBoost,utility_low_false_alarm,95,0.15907206192611284,1.1627153673781996e-15,1.0461534347879923e-12,1.3838495394081657e-16,0.987315628558282,82,8,2026-06-05T14:24:59+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/framework_strategy_validation_gate_v1
Framework-Low-False-Alarm,Fixed-RandomForest,utility_low_false_alarm,95,0.20158949897722522,3.594330886043655e-13,9.741876358230777e-12,4.260536478846756e-10,0.866989619841986,72,15,2026-06-05T14:24:59+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/framework_strategy_validation_gate_v1
Framework-Robust,Fixed-LightGBM,utility_robust,95,-0.0031239342716669863,0.775922525817722,0.4163858883429933,0.36159460805356514,-0.029287212734819962,18,12,2026-06-05T14:24:59+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/framework_strategy_validation_gate_v1
Framework-Robust,Fixed-XGBoost,utility_robust,95,0.06340364047973773,1.5413398286736136e-06,2.953974273493857e-09,8.35091635811369e-09,0.5265048991145314,70,17,2026-06-05T14:24:59+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/framework_strategy_validation_gate_v1
Framework-Robust,Fixed-RandomForest,utility_robust,95,0.10904982945043692,8.398669257522145e-11,7.694891177172329e-10,4.713242239575157e-06,0.7507568073724972,58,18,2026-06-05T14:24:59+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/framework_strategy_validation_gate_v1
Framework-Deployment,Fixed-LightGBM,utility_deployment,95,-0.006180505744484682,0.5619222672765556,0.5850270925103997,0.557197093963623,-0.05971770295247141,15,11,2026-06-05T14:24:59+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/framework_strategy_validation_gate_v1
Framework-Deployment,Fixed-XGBoost,utility_deployment,95,0.06030982822410957,4.4835554629189874e-07,2.1430567551669516e-10,1.938192405161976e-09,0.5566272631509643,69,15,2026-06-05T14:24:59+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/framework_strategy_validation_gate_v1
Framework-Deployment,Fixed-RandomForest,utility_deployment,95,0.11753403355249359,8.8229003999015e-13,5.875748796906883e-11,5.204403564731414e-07,0.8480330001404697,63,18,2026-06-05T14:24:59+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/framework_strategy_validation_gate_v1
